#cost performance baseline is an output of | determine budget
#Cost Variance (CV) | Earned Value (EV) - Actual Cost (AC)
#Which of followings can be used to perform trend analysis to forecast future outcomes based on historical patterns ? | run chart
#Budget forecast and work performance measurement are an output of | control costs
#All of the following are important tools and techniques for developing project  schedule, except | progress reports
#Which of the following is a line chart that show data points plotted in the order in which they occur | run chart
#Which tool or technique for collecting requirements is often the most expensive and time consuming
#According to Luc Richard, the founder of www.projectmangler.com, five points of using project milestones include the following, except | Keep project milestones to be medium/large and nearly frequent
#Work performance measurements are output of | Estimating activities resources

Which of the following is a task at the lowest level of the WBS | A work package
# Which of the following is not a preferred section in communication plan? | Training activities
# A_____ report describes where the project stands at a specific point time. | status
# What tool can you use to help manage stakeholders by ranking scope, time, and cost goals in order of important and provide guidelines on balancing these constraints? | issue log
# When using the ________, project managers directly face a conflict using a problem-solving approach that allows affected parties to work through their disagreements. | confrontation mode
# When using the ________, the project manager deemphasizes or avoids areas of differences and emphasizes areas of agreement. | smoothing mode
# You have two project stakeholders who do not get along at all. You know they both enjoy travelling, so you discuss great travel destinations when they are both in the room together to distract them from arguing with each other. What conflict-handling mode are you using? | smoothing mode
# Which is not a process in the Risk Management knowledge area? | Risk Design
# Which of the following statements is false? | Uncertainty and risk are lowest at the start of the project and greatest at the end.
# A risk response which involves reducing the impact of a risk event by reducing the probability of its occurrence is called: | Mitigation 
# When should a risk be avoided? | When the risk event is unacceptable -- generally one with a very high probability of occurrence and high impact. 
# An example of risk mitigation is: | Using proven technology in the development of a product to lessen the probability that the product will not work
# A risk ________ is a document that contains results of various risk management processes, often displayed in a table or spreadsheet format. | Register
# Which is not included in Risk Response Planning? | Enhancement
# In general, for which phase is risk and uncertainty minimum? | Final phase
# Which type of contract has the least amount of risk for buyer | fixed-price
# Which type of contract has the least amount of risk for seller | cost plus percentage of costs
# A proposal evaluation sheet is an example of a(n) ________________ | weighted scoring model
# Your organization hired a specialist in a certain field to provide training for a short period of time. Which reason for outsourcing would this fall under? | accessing skills and technologies
# Buyers often prepare a _____________ list when selecting a seller to make this process more manageable. | short
# A unilateral contract under which the seller is paid a preset amount per unit of service is called: | A unit price contract 
# If your college or university wanted to get information from potential sellers for providing a new sports stadium, what type of document would they require of the potential sellers? | Proposal
# In which project procurement management process is an RFQ often written? | planning procurements
# In a project that has never been done before, the PM must select one or more methods of estimating task duration. What is the most reliable method under this described situation? | B. Expert judgement
# All organizations should be supportive of the performing organization's long term goals. These type of goals are best described as | C. Strategic
# Which of the following processes is not part of project integration management? | A. develop the project business case
# The seven primary characteristics that are common to all projects are: | C. Objectives, schedule, complexity, size and nature of task, resources, and integrated information and control system.
# In which process group do we examine the alternative ways of accomplishing project objectives? | A. Initiating
# Each project phase is marked by completion of one or more: | C. deliverables
# Operations and Maintenance efforts should: | B. Be treated as part of the project's life cycle
# Which is the most appropriate description of the stakeholder's influence on the project life cycle? | B. Maximum at the start and then gradually weakens towards the end of the project.
# When is the earned-value approach appropriate to use. | A. When accurate and timely cost data are available.
# Within the five overlapping process groups of initiating, planning, executing, controlling and closing which processes dominate in all project phases? | D. They are all essential in each phase
# Which is/are the element(s) that may be a constraint in the project? | D. Cost, time, and quality
# During project plan execution: | D. The project manager uses corrective action to bring future performance in line with the project plan.
# Which is incorrect as the purpose of creating a Project plan? | D. Review the cost.
# The project closing process is essential to overall project planning. What is considered one of the most important steps in closing the project? | D. Satisfying the contractual obligations
# the development of long term goals set by executive management is called: | C. Strategic Planning 
# ____________is a document that formally recognizes the existence of a project and provides direction on the project’s objectives and management. | A. project charter 
# Feasibility studies are performed in the ______ process group of the project. | A. Initiating
# Contingency reserves are intended to: | B. Involve cost, schedule or both
# In development of the project plan, which of the following elements should be included to reduce project risk? | C. Mitigation plans
# What is the last step in the four-stage planning process for selecting information technology projects? | D. resource allocation
# Regular changes, which are processed through the change control system: | D. Are coordinated and communicated across all functional areas of the project to ensure 
# Which is the most appropriate description that explains a project team member? | D. The group that carries out the work of the project.
# In which process group do we transfer resources to other systems? | D. Closing
# Life-cycle costs are the total costs: | A. To the organization for the ownership and acquisition of the project over its full life. 
# A project planning methodology is any structured approach used to guide the project team during development of the project plan. What is an example of this methodology? | A. Standard forms or templates.
# Project feasibility studies are conducted during which of the project phases? | A. Initiating 
# In many application areas, configuration management is a subset of the change control system and is used to ensure that the description of the project's product is _______ and _______. | A. correct and complete
# Which is the one not included in the features of a project? | C. Fixed operation
# Under what situation should the PM issue updates to the approved cost baseline. | C. A change of scope has occurred.
# It estimates for total discounted benefits for a project are $120,000 and total discounted costs are $100,000, what is the estimated return on investment (ROI)? | C. 20 percent
# In scope management, decomposition involves: | A. Subdividing the major project deliverables into smaller and more manageable components.
# The project plan is a document designed to tell _____ exactly what should be happening in a given period of time. | A. Anyone associated with the project
# When should a change request be documented? | D. Client and contractor jointly document and approve the change before the work is scheduled
# What is an example of project integration? | A. Accounting provides the cost estimate required for the help center's contingency plan.
# Setting strategic project objectives are the responsibility of the: | C. Executive or user groups
# Which is the correct explanation of a Stakeholder? | A. Individual or organization influenced by the project
# Who is directly responsible for satisfying project requirements? | C. The project manager.
# Which of the following items is not normally included in a project charter? | D. A Gantt chart
# The change control system must include all but which of the following | C. Verbal approvals
# In a program or project plan, there are always revisions to account for new or missing datA. Which one of the following provides the best reason for performing a revision of the plan? | B. Project tasks are crashed to meet their end dates
# All of the following are reasons project fail EXCEPT: | C. Planning and closing
# Changes are difficult and cumbersome to incorporate with the complex systems used by contractors. What is the reason for this difficulty? | A. The lack of detail available concerning the tasks to be achieved on a project
# The practice of overlapping phases is often called : | D. fast tracking
# One of the initial project documents, issued by senior management, which outlines the authority of the project manager, is called Project charter. As a seller, what other document can be used in this place: | C. Contract
# Which of the following functions does not pertain to the roles and responsibilities of the project manager ? | B. Staffing
# What is the process of gradual, step-wise reduction to details of the project products and the characteristics of new services called? | A. Progressive elaboration
# Another name of strategic planning is | D. Top down
# Which of the following is not a suggestion for performing integrated change control? | B. Minimize change
# The integrated project plan provides the baseline of: | C. which changes will be controlled 
# Which is the correct explanation of Scope? | D. The sum of the products and services created as a project
# Which of the following is NOT a process in the project life cycle? | D. Project reporting
# Which is not an appropriate description of the work of Integrated Change Control? | B. Change the Schedule only.
# In which organization are the project manager's independence and authority weakest? | A. Functional organization
# Project Management is : | B. Needed because the functional organization and its methods of planning and control cannot otherwise assure that complex projects will be completed on time.
# During the planning development process, at times it is necessary to make certain assumptions to enhance the project plan when the data is not available. In regard to making those assumptions, which one of the following is most true for project planning purposes? | 	A. The assumptions will be considered as true, real, or certain.
# In the integration management process, the project plan development uses the outputs of the other planning processes to create a consistent, coherent document that can be used to guide both project ________ and project __________. | A. Execution, control
# ___________ensures that the description of the project's products are correct and complete | A. Configuration management
# The unique identifiers assigned to each item of a WBS are often known collectively as: | C.The code of accounts 
# Which of the following is a common characteristic of most project life cycle descriptions? | A.Cost and staffing are low at the start, higher towards the end, and drop rapidly as the project nears completion. 
# Which tool or technique for collecting requirements is often the most expensive and time consuming? | A. interviews 
# Which of the following is NOT an example of a type of schedule report? | C.fishbone diagram 
# What is the difference between scope verification and quality control? | D.Scope verification is primarily concerned with the acceptance of work results while quality control is primarily concerned with the correctness of work results. 
# Project scope is: | A.The work that must be done in order to deliver a product with the specified features and functions. 
# Assume you have a project with major categories called planning, analysis, design, and testing. What level of the WBS would these items fall under? | C. 2
# A document which describes how project scope will be managed and how scope changes will be integrated into the project is: (choose the best answer) | C.A scope management plan 
# Which of the following is not a suggestion for improving user input? | D. Only have meetings as needed, not on a regular basis
# Which of the following are outputs of the Scope Verification Process? | C.Formal acceptance 
# What is the purpose of the WBS? | B.To ensure that all work within a project is identified and defined within a common framework. 
# A _______ is a deliverable-oriented grouping of the work involved in a project that defines the total scope of the project | B. WBS
# Which of the following tools and techniques are commonly used in the Scope Definition Process? | D.WBS templates 
# Which of the following Project Scope Management processes involves subdividing the major project deliverables into smaller, more manageable components? | D.Scope Definition 
# Project management software helps you develop a ______ which serves as a basis for creating Gantt charts, assigning resources, and allocating costs. | C. WBS
# ________refer(s) to all the work involved in creating the products of the project and the processes used to created them | C. Scope
# What is the primary purpose of a milestone chart? | C.To show significant events in the project such as completion of key deliverables. 
# Which of the following could be an appropriate WBS code for a work package at the fourth level in a WBS where the top level code is 1.0? | B.1.1.1.1 
# What approach to developing a WBS involves writing down or drawing ideas in a non-linear format? | D. mind mapping
# Which of the following statements concerning a scope statement are true? | A.It provides a documented basis for making future project decisions and for developing common understanding of the project scope among stakeholders. 
# Scope _________ is often achieved by a customer inspection and then sign-off on key deliverables. | A. verification
# Which of the following is not a best practice that can help in avoiding scope problems on information technology projects? | 	D. Don’t involve too many users in scope management
# Who should contribute to the development of the project plan? | B.Entire project team including project manager 
# A project plan is: | A.A formal, approved document used to guide both project execution and project control. 
# Which of the following statements is false? | D. Fast tracking is a technique for making cost and schedule trade-off to obtain the greatest amount of schedule compression for the least incremental cost,
# To calculate the late start and late finish dates for a set of tasks, you must do: | C.A backwards pass 
# What symbol on a Gantt chart represents a slipped milestone? | D. a white diamond
# What type of diagram shows planned and actual project schedule information? | C. a Tracking Gantt chart
# Which of the following statements is false? | B. Duration and effort are synonymous terms.
# ___________ is a method of scheduling that considers limited resources when creating a project schedule and includes buffers to protect the project completion date. | D. Critical chain scheduling
# In crashing the schedule, you would focus on: | C.Accelerating the performance of tasks on the critical path 
# You cannot start editing a technical report until someone else completes the first draft. What type of dependency does this represent? | A. finish-to-start
# During what Time Management Process are the specific activities that must be performed to produce the deliverables in the WBS identified and documented? | B.Activity Definition 
# What is critical path? | C.The longest path through the network, which represents the shortest amount of time in which a project can be completed. 
# What is the first process in planning a project schedule? | B. defining activities
# The Time Management Process that involves identifying and documenting interactivity dependencies is called: | D.Activity Sequencing
# A network diagram that uses nodes to represent activities and arrows to show the activity dependencies and allows no loops is called: | B.AON 
# Predecessors, successors, logical relationships, leads and lags, resource requirements, constraints, imposed dates, and assumptions are all examples of __________ | D. activity attributes
# As the project manager for a software development project, you are helping to develop the project schedule. You decide that writing code for a system should not start until users sign off on the analysis work. What type of dependency is this? | C. discretionary
# Given the following estimates: Optimistic 3 days, Pessimistic 9 days, and most likely 6 days, What is the PERT weighted average value for this estimation? | D.6.1
# Given the following estimates: Optimistic 3 days, Pessimistic 9 days, and most likely 6 days, what is the PERT weighted average? | 6
# ______ is a network diagramming technique used to predict total project duration. | A. PERT
# The amount of time that an activity can be delayed from its early start without delaying the project end date is called: | C.Total Float 
# An activity that consumes no time or resources and shows only that a dependency exists between two activities is called: | C.A dummy activity 
# A period of time in work weeks which includes non-working days is called: | A.Elapsed Time 
# If the actual cost for a WBS item is $1500 and its earned value was $2000, what is its cost variance, and is it under or over budget? | D. the cost variance is $500, which is under budget
# _________ involves allocating the project cost estimate to individual work items over time. | C. Project cost budgeting
# If a company loses $5 for every $100 in revenue for a certain product, what is the profit margin for that product? | A. -5 percent
# Which of the following choices indicates that a project has a burn rate of 1.2? (Hint: Burn rate is the same as the Cost Performance Index) | B. The AC is 100 and the EV is 120.
# Schedule variance can be determined by: | D. EV - PV
# _________ is a project performance measurement technique that integrates scope, time, and cost data. | D. Earned value analysis
# Project Cost Management includes all of the following except: | A. Resource leveling
# What is the main goal of project cost management? | B. to complete a project within an approved budget
# ________ reserves allow for future situations that are unpredictable. | C. Management
# Earned value is all of the following except: | A. Actual cost of work performed.
# Which of the following is not a key output of project cost management? | B. a cost management plan
# During the six month update on a 1 year, $50,000 project, the analysis shows that the PV is $25,000; the EV is $20,000 and the AC is $15,000. What can be determined from these figures? | D. The project is behind schedule and under cost.
# The inputs to Cost Budgeting includes all of the following except: | B. Cost baseline
# ________ is a resource sacrificed or foregone to achieve a specific objective or something given up in exchange? | D. Cost
# You are preparing a cost estimate for a building based on its location, purpose, number of square feet, and other characteristics. What cost estimating technique are you using? | A. parametric
# If a project is halfway completed and its schedule performance index is 110 percent and its cost performance index is 95 percent, how is it progressing? | B. it is ahead of schedule and over budget 
# Parametric cost estimating involves: | B. Using rates and factors based on historical experience to estimate costs. 
# How close to actual costs should a definitive budget estimate be? | D. -5 percent to +10 percent
# The main focus of life cycle costing is to: | D. Consider operations and maintenance costs in making project decisions
# Which type of cost is team training? | A. Direct
# The overall intentions and direction of an organization with regard to quality as formally expressed by top management is a: | C. Quality Policy
# 80% of the problems are found in 20% of the work is a concept of: | D. Pareto
# What is the preferred order for performing testing on information technology projects? | A. unit testing, integration testing, system testing, user acceptance testing
# A tool that analyzes the inputs to a process to identify the causes of errors is called: | C. Ishikawa diagram
# What is not the purpose of project quality management? | D. to ensure that the project team doesn't miss any requirement item
# The process of evaluating overall project performance on a regular basis to provide confidence that the project will satisfy the relevant quality standards is called: | A. Quality Assurance
# What tool could you use to see if there is a relationship between two variables? | D. a scatter diagram
# A structured tool, usually industry or activity specific, used to verify that a set of required steps has been performed is called: | B. Check list 
# A histogram ordered by frequency of occurrence that shows how many results were generated by each identified cause is: | D. Pareto Diagram
# _________ generates ideas for quality improvements by comparing specific project practices or product characteristics to those of other projects or products within or outside the performing organization. | D. Benchmarking
# The ability of a product to be used for different purposes at different capacities and under different conditions determines its: | B. Flexibility
# Six Sigmas target for perfection is the achievement of no more than _________ defects, errors, or mistakes per million opportunities. | C. 3.4
# The seven run rule states that if seven data points in a row on a control chart are all below the mean, above the means, or all increasing or decreasing, then the process needs to be examined for _________ problems. | B. non-random
# _________ is known for his work on quality control in Japan and developed the 14 Points for Management in his text Out of the Crisis. | B. Deming
# Which of the following is not considered a cost of nonconformance to quality? | D. Process control
# PMI’s OPM3 is an example of a model or framework for helping organizations improve their processes and systems. | C. maturity
# _________ is the degree to which a set of inherent characteristics fulfils requirements, | A. Quality
# What tool can you use to determine whether a process is in control or out of control? | B. a control chart
# The process of monitoring specific project results to determine if they comply with relevant quality standards is called: | B. Quality Control
# The concept of zero inventory is called: | C. Just in Time
# A series of consecutive points on the same side of the average is called: | A. Run
# The purpose of a quality audit includes all of the following except: | A. Examines the work of the project and formally accepts the work results.
# This tool and technique of Quality Control keeps errors from reaching the customer: | A. Inspection
# All of the following statements are true regarding Pareto diagrams and Pareto theory except: | D. Pareto diagrams use two variables.
# A tool which links the project roles and responsibilities to the project scope definition is called: | B. Responsibility Assignment Matrix 
# A document or tool which describes when and how human resources will be brought onto and taken off the project team is called a: | A. Staffing Management Plan
# _____________ power is based on a person’s individual charisma. | B. Referent
# Which of the following is part of the expectency theory of motivation? | C. People tend to be highly productive and motivated if they believe their efforts will lead to successful results and that success will lead to personal rewards. 
# Which of the following is not a process of project human resource management? | C. Information Distribution
# What technique can you use to resolve resource conflicts by delaying tasks? | B. resource leveling
# Which of the following is not part of project human resource management? | A. Resource estimating
# A maps the work of a project as described in the WBS to the people responsible for performing the work. | D. responsibility assignment matrix
# Which motivational theory uses the concept of theory X? | C. McGregor
# ______________ causes people to participate in an activity for their own enjoyment. | A. Intrinsic rnotivation
# What impact does a matrix organization have on project team development? | B. It complicates team development.
# A team member who doesn't have the required skills or knowledge was assigned to a team. Who is responsible for ensuring that he receives the proper training? | A. Sponsor
# A key barrier to team development is: | B. When team members are accountable to both functional and project managers.
# Human resource administration is the primary responsibility of the: | B. Human Resources Department
# Legitimate power is: | A. Power derived from a person's formal position in the organization.
# A staffing management plan often includes a resource ______, which is a column chart that shows the number of resources assigned to the project over time. | C. histogram
# The belief that management's high levels of trust, confidence and commitment to workers leads to high levels of motivation and productivity on the part of workers is a part of which motivation theory? | B. Theory Z 
# Which of the following is not a tool or technique for managing project teams? | D. Social Styles Profile 
# Which of the following Human Resource process generates Roles & Responsibilities : | A. Human Resource Planning 
# Which of the following definition is not correct: | C. Team Building - Forming a team from scratch for a new project. 
# What is Team Development? | D. Helping people work together more effectively to improve project performance
# The state of being totally answerable for the satisfactory completion of a specific assignment is called: | B. Accountability 
# The process of getting a group of diverse individuals to work effectively together as a team is the definition of | D. team building 
# Acquire Project team process will be performed under: | C. Executing Process Group 
# The sender is responsible for: | A. Confirming the message is understood. 
# All of the following are outputs from performance reporting EXCEPT: | D. Stakeholder reports
# All of the following are communication tools EXCEPT: | D. Inputing data into a spreadsheet 
# If you add three more people to a project team of five, how many more communications channels will you add? | 18
# All of the following aid in achieving consensus EXCEPT: | B. Avoiding conflict.
# In communications management, to assimilate through the mind or senses is the process of: | A. Receiving
# Which of the following is not a process in project communications management? | A. information planning
# In negotiating with functional department managers, project managers often find themselves using what two-party conflict management approach? | C. Lose-Lose
# Which communication skill is most important for information technology professionals for career advancement? | C. speaking
# Which of the following is not a guideline to help improve time spent at meetings? | B. Invite extra people who support your project to make it run more smoothly.
# What do many experts agree is the greatest threat to the success of any project? | B. a failure to communicate
# The receiver filters messages based on all but the following: | D. Distance
# What tool can you use to help manage stakeholders by ranking scope, time, and cost goals in order of importance and provide guidelines on balancing these constraints? | C. issue log
# The sending or conveying of information from one place to another is the process of: | B. Transmitting 
# Which of the following is not a process of Project Communcations Management? | D. Conflict Resolution
# You have two project stakeholders who do not get along at all. You know they both enjoy traveling, so you discuss great travel destinations when they are both in the room together to distract them from arguing with each other. What conflict-handling mode are you using? | C. smoothing
# The three major types of communication are: | A. Written, verbal, and non-verbal.
# What are the four parts of the communications model? | B. Sender, Message, Medium, Receiver
# A ___________ report is a reflective statement documenting important things that people learned from working on the project. | B. lessons-learned
# What popular book illustrates the concept that people are not interchangeable parts and uses the analogy that you cannot take nine women and produce a baby in one month? | D. Brooks’s The Mythical Man•Month
# Group brainstorming encourages all of the following except: | C. Convergent thinking
# A leadership style in which the project manager shares problems with team members and formulates solutions as a group is called: | C. Consensus
# Which of the following are outputs from the Communications Planning process? | B. Communications management plan
# Communication is the key to the succes o a project. As the project manager, ou have three stakeholders with whom ou need to communicate. As scuch, ou have six channels of communication. A new stakeholder has been added that ou also need to communicate with. How many communication channels do you have now? | B. 10
# The project status meeting is not going well. Everyone is talking at the same time, there are people who are not participating and many topics are being discussed at random. Which of the following rules for effective meetings is NOT being adhered to? | D. Create and publish an agenda and a set of rules for controlling the meeting
# Lessons learned are BEST completed by: | D. Stakeholders
# Project Risk Management includes all of the following processes except: | C. Risk Design
# __________ are indicators or symptoms of actual risk events, such as a cost overrun on early activities being a symptom of poor cost estimates. | D. Triggers
# Your project involves using a new release of a common software application, but if that release is not available, your team has _________ plans to use the current release. | A. contingency
# Management reserves are used to handle which type of risk? | A. Unknown unknowns
# Which of the following statements is false? | B. Uncertainty and risk are lowest at the start of the project and greatest at the end.
# Which of the following is not a tool or technique used during the Risk Quantification Process? | B. Contingency planning
# _______ is a quantitative risk analysis tool that uses a model of a system to analyze the expected behavior or performance of the system. | A. Simulation
# A risk response which involves eliminating a threat is called: | C. Avoidance
# When should a risk be avoided? | B. When the risk event is unacceptable -- generally one with a very high probability of occurrence and high impact. 
# Your project team has decided not to use an upcoming release of software because it might cause your schedule to slip. Which negative risk response strategy are you using? | A. avoidance
# An example of risk mitigation is: | A. Using proven technology in the development of a product to lessen the probability that the product will not work
# A risk ________ is a document that contains results of various risk management processes, often displayed in a table or spreadsheet format. | B. register
# When should risk identification be performed? (select best answer) | D. Risk identification should be performed on a regular basis throughout the project.
# Which risk identification tool involves deriving a consensus among a panel of experts using anonymous input regarding future events? | D. Delphi technique
# Suppose there is a 30 percent chance that you will lose $10,000 and a 70 percent chance that you will earn $100,000 on a particular protect. What is the projects estimated monetary value? | C, $67,000
# A person who is risk ______ receives greater satisfaction when more payoff is at stake and is willing to pay a penalty to take risks. | B. seeking
# Which risk management process involves prioritizing risks based on their probability and impact of occurrence? | C. performing qualitative risk analysis
# __________ is an uncertainty that can have a negative or positive effect on meeting project objectives. | D. Risk
# Deflection or transfer of a risk to another party is part of which of the following risk response categories? | A. Mitigation
# Most schedule simulations are based on some form of which of the following? | C. CPM 
# Which is not included in Risk Response Planning? | D. Decentralization
# In general, for which phase is risk and uncertainty maximum? | A. Initial phase
# Which process performs prioritization of the project risk? | C. Qualitative Risk Analysis
# What is a risk trigger? | D. Symptom of risk
# What is the process that evaluates the influence of the risk quantitatively by the amount of money, etc.? | A. Quantitative Risk Analysis
# Which type of contract has the least amount of risk for buyer | A. fixed-price
# Which type of contract has the least amount of risk for seller | C. cost plus percentage of costs
# An item you need for a project has a daily lease cost of $200. To purchase the item, there is an investment cost of $6000 and a daily cost of $100. Calculate the number of days when the lease cost would be the same as the purchase cost. | D. 60
# A proposal evaluation sheet is an example of a(n) ________________ | D. weighted scoring model
# Your organization hired a specialist in a certain field to provide training for a short period of time. Which reason for outsourcing would this fall under? | C. accessing skills and technologies
# Buyers often prepare a _____________ list when selecting a seller to make this process more manageable. | B. short
# A unilateral contract under which the seller is paid a preset amount per unit of service is called: | C. A unit price contract 
# If your college or university wanted to get information from potential sellers for providing a new sports stadium, what type of document would they require of the potential sellers? | C. Proposal
# A fixed-price-plus-incentive-fee (FPI) contract has a target cost of $130,000, a target profit of $15,000, a target price of $145,000, a ceiling price of $160,000, and a share ratio of 80/20. The actual cost of the project was $150,000. How much profit does the seller make? | A. $10,000 
# Fixed-price contracts are equivalent to: | D. Lump-sum contracts
# In which project procurement management process is an RFQ often written? | A. planning procurements
# A cost-plus-percentage-cost (CPPC) contract has an estimated cost of $120,000 with an agreed profit of 10% of the costs. The actual cost of the project is $130,000. What is the total reimbursement to the seller? | A. $143,000 
# Which of the following contract types places the greatest risk on the seller? | D. Firm-fixed-price contract 
# The _____________ is the point at which the contractor assumes total responsibility for each additional dollar of contract cost. | D. Point of Total Assumption
# ________________ is a term used to describe various procurement functions that are now done electronically | A. E-procurement
# By which means is a contractor able to control costs overruns due to changing requirements? | C. Change control
# Fixed price and incentive type contracts place responsibility for performance and financial risks associated with delay or non-performance on the: | A. Contractor
# Project management, as an integration function, has the need to either make or buy components of the system. The decision to make or buy is based on all the following but __________. | B. Availability of funds
# What IT function has the largest percentage of work outsourced? | B. Disaster recovery
# Which describes the product and the service to be delivered in an agreement? | SOW
# Which is the contract form specifying an amount when the scope is made clear? | C. Fixed-price
# What is the structured review process from Procurement Planning to Contract Administration? | D. Procurement audits
# During what part of the procurement process does contract negotiation occur? | B. Conduct procurements
# A tool which links the project roles and responsibilities to the project scope definition is called: | B. Responsibility Assignment Matrix 
# A technique for resolving conflict in which the parties agree to have a neutral third party hear the dispute and make a decision is called: | B. Arbitration
# What is the difference between scope verification and quality control? | D.Scope verification is primarily concerned with the acceptance of work results while quality control is primarily concerned with the correctness of work results. 
# Operations and Maintenance efforts should: | B. Be treated as part of the project's life cycle
# The overall intentions and direction of an organization with regard to quality as formally expressed by top management is a: | C. Quality Policy
# _________ involves allocating the project cost estimate to individual work items over time. | C. Project cost budgeting
# Which of the following is NOT an example of a type of schedule report? | C.fishbone diagram 
# Schedule variance can be determined by: | D.EV - PV
# Project Risk Management includes all of the following processes except: | C. Risk Analysis
# If the actual cost for a WBS item is $1500 and its earned value was $2000, what is its cost variance, and is it under or over budget? | D. the cost variance is $500, which is under budget
# In a project that has never been done before, the PM must select one or more methods of estimating task duration. What is the most reliable method under this described situation? | B. Expert judgement
# The independence of two events in which the occurrence of one is not related to the occurrence of the other is called: | C. statistical independence
# Predecessors, successors, logical relationships, leads and lags, resource requirements, constraints, imposed dates, and assumptions are all examples of __________ | D. activity attributes
# Which is the most appropriate description of the stakeholder's influence on the project life cycle? | B. Maximum at the start and then gradually weakens towards the end of the project.
# Within the five overlapping process groups of initiating, planning, executing, controlling and closing which processes dominate in all project phases? | D. They are all essential in each phase
# When is the earned-value approach appropriate to use. | A. When accurate and timely cost data are available.
# What is the preferred order for performing testing on information technology projects? | A. unit testing, integration testing, system testing, user acceptance testing
# Your project involves using a new release of a common software application, but if that release is not available, your team has _________ plans to use the current release. | A. contingency
# If a company loses $5 for every $100 in revenue for a certain product, what is the profit margin for that product? | A. -5 percent
# __________ are indicators or symptoms of actual risk events, such as a cost overrun on early activities being a symptom of poor cost estimates. | D. Triggers
# All of the following are outputs from performance reporting EXCEPT: | A. Trend analysis
# All of the following aid in achieving consensus EXCEPT: | B. Avoiding conflict.
# In which process group do we examine the alternative ways of accomplishing project objectives? | A. Initiating
# If you add three more people to a project team of five, how many more communications channels will you add? | D. 18
# Which of the following processes is not part of project integration management? | A. develop the project business case
# All organizations should be supportive of the performing organization's long term goals. These type of goals are best described as | C. Strategic
# The unique identifiers assigned to each item of a WBS are often known collectively as: | C.The code of accounts 
# A document or tool which describes when and how human resources will be brought onto and taken off the project team is called a: | A. Staffing Management Plan
# ______ is a network diagramming technique used to predict total project duration. | A. PERT
# Each project phase is marked by completion of one or more: | C. deliverables
# Which of the following choices indicates that a project has a burn rate of 1.2? (Hint: Burn rate is the same as the Cost Performance Index) | B. The AC is 100 and the EV is 120.
# The amount of time that an activity can be delayed from its early start without delaying the project end date is called: | C.Total Float 
# The Time Management Process that involves identifying and documenting interactivity dependencies is called: | D.Activity Sequencing
# Which of the following is a common characteristic of most project life cycle descriptions? | A.Cost and staffing are low at the start, higher towards the end, and drop rapidly as the project nears completion. 
# A proposal evaluation sheet is an example of a(n) ________________ | D. weighted scoring model
# 80% of the problems are found in 20% of the work is a concept of: | D. Pareto
# All of the following are communication tools EXCEPT: | D. Inputing data into a spreadsheet
# An item you need for a project has a daily lease cost of $200. To purchase the item, there is an investment cost of $6000 and a daily ccost of $100. Calculate the number of days when the lease cost would be the same as the purchase cost. | D. 60
# Your organization hired a specialist in a certain field to provide training for a short period of time. Which reason for outsourcing would this fall under? | C. accessing skills and technologies
# What is not the purpose of project quality management? | D. to ensure that the project team doesn't miss any requirement item
# _____________ power is based on a person’s individual charisma. | B. Referent
# Which of the following tools and techniques are commonly used in the Scope Definition Process? | D.WBS templates 
# _______ is a quantitative risk analysis tool that uses a model of a system to analyze the expected behavior or performance of the system. | A. Simulation
# The receiver filters messages based on all but the following: | D. Distance
# What IT function has the largest percentage of work outsourced? | B. Disaster recovery
# The seven run rule states that if seven data points in a row on a control chart are all below the mean, above the means, or all increasing or decreasing, then the process needs to be examined for _________ problems. | B. non-random
# Project Cost Management includes all of the following except: | A. Resource leveling
# Which of the following is not a tool or technique for managing project teams? | D. Social Styles Profile 
# A mandatory prerequisite for team building is: | C. Commitment from top level management
# Your organization hired a specialist in a certain field to provide training for a short period of time. Which reason for outsourcing would this fall under? | C. accessing skills and technologies
# What is the difference between scope verification and quality control? | D.Scope verification is primarily concerned with the acceptance of work results while quality control is primarily concerned with the correctness of work results. 
# When should risk identification be performed? (select best answer) | D. Risk identification should be performed on a regular basis throughout the project.
# Project Risk Management includes all of the following processes except: | C. Risk Analysis
# In a project that has never been done before, the PM must select one or more methods of estimating task duration. What is the most reliable method under this described situation? | B. Expert judgement
# When is the earned-value approach appropriate to use. | A. When accurate and timely cost data are available.
# Forcing, as a means to manage conflict: | A. Exerts one's view at the potential expense of another party.
# Which of the following is not a suggestion for performing integrated change control? | B. Minimize change
# A document which describes how project scope will be managed and how scope changes will be integrated into the project is: (choose the best answer) | C.A scope management plan 
# In a program or project plan, there are always revisions to account for new or missing datA. Which one of the following provides the best reason for performing a revision of the plan? | B. Project tasks are crashed to meet their end dates
# The _____________ is the point at which the contractor assumes total responsibility for each additional dollar of contract cost. | D. Point of Total Assumption
# _________ generates ideas for quality improvements by comparing specific project practices or product characteristics to those of other projects or products within or outside the performing organization. | D. Benchmarking
# In scope management, decomposition involves: | A. Subdividing the major project deliverables into smaller and more manageable components.
